Roller Coaster,Amusement Park,Type,Design,Status,Opened
American Flyer,O.D. Pavilion Amusement Park,Steel,Sit Down,,2010-01-01
American Hills,Park Topolya,Steel,Sit Down,Operating,2007-01-01
American Mountain,Luna Park,Steel,Sit Down,,1999-01-01
American Mountains,Mtatsminda Park,Steel,Sit Down,Operating,2012-01-01
American Thunder,Six Flags St. Louis,Wood,Sit Down,Operating,2008-01-01
Amerikan Aýlawy,Älemgosar,Steel,Sit Down,Operating,2015-01-01
Amerikanskaya Gorka,Samonids Recreation Park,Steel,Sit Down,Operating,2014-01-01
Amerikanski Geri,Hidropark,Steel,Sit Down,,2006-01-01
Amerikan Təpəcikləri,Qəbələnd,Steel,Sit Down,Operating,2010-01-01
Amerikan Təpəcikləri,Gancland Park,Steel,Sit Down,Operating,2015-01-01
Amerikaskie Gorki,Gagarin Park,Steel,Sit Down,Relocated,2004-01-01
Anaconda,Kings Dominion,Steel,Sit Down,Operating,1991-01-01
Anaconda,Walygator Grand Est,Wood,Sit Down,Operating,1989-01-01
Anaconda,Gold Reef City,Steel,Inverted,Operating,1999-01-01
Anaconda,Luna Park Tel Aviv,Steel,Sit Down,Operating,2000-01-01
Anaconda,Fantasy World,Steel,Inverted,Operating,2005-01-01
Andalusia Railroad,Kure Portopialand,Steel,Sit Down,Relocated,1992-01-01
Angry Birds,Shenzhou Birds Park,Steel,Sit Down,Operating,2013-01-01
Animal Coaster,Toyama Family Park,Steel,Sit Down,Operating,2004-01-01
Animal Coaster,Jawa Timur Park 2,Wood,Sit Down,Operating,2011-01-01
Animal Race,Fun Oasis,Steel,Sit Down,Operating,2006-01-01
Antelope,Gulliver's Warrington,Wood,Sit Down,Operating,1995-01-01
Ant Kingdom,Seven Star Park,Steel,Sit Down,Operating,2011-01-01
Anubis: The Ride,Plopsaland De Panne,Steel,Sit Down,Operating,2009-01-01
Apache Whirlwind,Frontier Village Amusement Park,Steel,Sit Down,,1976-01-01
Apocalypse,Lunapark,Steel,Sit Down,Operating,2012-01-01
Apocalypse the Ride,Six Flags Magic Mountain,Wood,Sit Down,Operating,2009-01-01
Apollo's Chariot,Busch Gardens Williamsburg,Steel,Sit Down,Operating,1999-01-01
