Roller Coaster,Amusement Park,Type,Design,Status,Opened
Alpine Coaster,Pena Aventura Park,Steel,Sit Down,Operating,2014
Alpine Coaster,Glacier 3000,Steel,Sit Down,Operating,2006
Alpine Coaster,Glenwood Caverns Adventure Park,Steel,Sit Down,Operating,2005
Alpine Coaster,Smoky Mountain Alpine Coaster,Steel,Sit Down,Operating,2013
Alpine Coaster,Datanla Waterfall Park,Steel,Sit Down,Operating,2006
Alpine Coaster,Stoke Ski Centre,Steel,Sit Down,,2003
Alpine Coaster,Sunnyland Sarajevo,Steel,Sit Down,Operating,2016
Alpine Coaster,VinWonders,Steel,Sit Down,Operating,2012
Alpine Coaster,Hồ Mây Park,Steel,Sit Down,Operating,2010
Alpine Coaster,Ski complex Mazyr,Steel,Sit Down,Operating,2006
Alpine Coaster,Hongluo Temple,Steel,Sit Down,Operating,2001
Alpine Coaster,Vizantiapark,Steel,Sit Down,Operating,2011
Alpine Coaster,Jindian Park,Steel,Sit Down,Operating,1999
Alpine Coaster,Khu du dịch Núi Bà Đen,Steel,Sit Down,Operating,2017
Alpine Coaster,Bardonecchia Alpine Coaster,Steel,Sit Down,Operating,2019
Alpine-Coaster-Bahn,Gelenau,Steel,Sit Down,Operating,2000
Alpine Coaster Dittrichshütte,Kinder- und Jugenderholung Dittrichshütte,Steel,Sit Down,SBNO,2000
Alpine Dips,Sanatoga Park,Wood,Sit Down,,1921
Alpine Hills,Children's Park,Steel,Sit Down,Operating,2007
Alpine Mountain Coaster,Mountain Creek Waterpark,Steel,Sit Down,Operating,2011
Alpine Racer,Playland at the Beach,Wood,Sit Down,,1959
Alpine Racer,Namsskogan Familiepark,Steel,Sit Down,Operating,2002
Alpine Roadway,Rabkoland,Steel,Sit Down,,2004
Alpine Roadway,Delmar Garden,Wood,Sit Down,,1909
Alpine Scenic Railway,Lotus Isle Park,Wood,Sit Down,,1930
Alps,Six Gun Territory,Wood,Sit Down,,1905
Alpsee Coaster,Alpsee Bergwelt,Steel,Sit Down,Operating,2006
Altair,Cinecittà World,Steel,Sit Down,Operating,2014
Altin Madeni Coaster,Wonderland Eurasia,Steel,Sit Down,SBNO,2019
AltmühlBOB,AltmühlBOB,Steel,Sit Down,Operating,1999
Alton Mouse,Alton Towers,Steel,Sit Down,Relocated,1988
Alucinakis,Terra Mítica,Steel,Sit Down,Operating,2000
Ameerika Mäed,Rocca al Mare Tivoli,Steel,Sit Down,,1997
Ameerika Mäed,Liikluslinn,Steel,Sit Down,,2014
Ameerika Mäed,Liikluslinn,Steel,Sit Down,Under Construction,2021
American,Dudley Zoological Gardens,Steel,Sit Down,Relocated,2007
American Coaster,Frontierland Family Theme Park,Steel,Sit Down,,
American Dreier Looping,Indiana Beach,Steel,Sit Down,Under Construction,2021
American Eagle,Six Flags Great America,Wood,Sit Down,Operating,1981
American Flyer,O.D. Pavilion Amusement Park,Steel,Sit Down,,2010
American Hills,Park Topolya,Steel,Sit Down,Operating,2007
American Mountain,Luna Park,Steel,Sit Down,,1999
American Mountains,Mtatsminda Park,Steel,Sit Down,Operating,2012
American Thunder,Six Flags St. Louis,Wood,Sit Down,Operating,2008
Amerikan Aýlawy,Älemgosar,Steel,Sit Down,Operating,2015
Amerikanskaya Gorka,Samonids Recreation Park,Steel,Sit Down,Operating,2014
Amerikanski Geri,Hidropark,Steel,Sit Down,,2006
Amerikan Təpəcikləri,Qəbələnd,Steel,Sit Down,Operating,2010
Amerikan Təpəcikləri,Gancland Park,Steel,Sit Down,Operating,2015
Amerikaskie Gorki,Gagarin Park,Steel,Sit Down,Relocated,2004
Anaconda,Kings Dominion,Steel,Sit Down,Operating,1991
Anaconda,Walygator Grand Est,Wood,Sit Down,Operating,1989
Anaconda,Gold Reef City,Steel,Inverted,Operating,1999
Anaconda,Luna Park Tel Aviv,Steel,Sit Down,Operating,2000
Anaconda,Fantasy World,Steel,Inverted,Operating,2005
Andalusia Railroad,Kure Portopialand,Steel,Sit Down,Relocated,1992
Angry Birds,Shenzhou Birds Park,Steel,Sit Down,Operating,2013
Animal Coaster,Toyama Family Park,Steel,Sit Down,Operating,2004
Animal Coaster,Jawa Timur Park 2,Wood,Sit Down,Operating,2011
Animal Race,Fun Oasis,Steel,Sit Down,Operating,2006
Antelope,Gulliver's Warrington,Wood,Sit Down,Operating,1995
Ant Kingdom,Seven Star Park,Steel,Sit Down,Operating,2011
Anubis: The Ride,Plopsaland De Panne,Steel,Sit Down,Operating,2009
Apache Whirlwind,Frontier Village Amusement Park,Steel,Sit Down,,1976
Apocalypse,Lunapark,Steel,Sit Down,Operating,2012
Apocalypse the Ride,Six Flags Magic Mountain,Wood,Sit Down,Operating,2009
Apollo's Chariot,Busch Gardens Williamsburg,Steel,Sit Down,Operating,1999
Apollo Steamrocket,Kingoland,Steel,Sit Down,Operating,2014
Apple,Parc Bellevue,Steel,Sit Down,Operating,2016
Apple Coaster,Codona's Amusement Park,Steel,Sit Down,Operating,2003
Apple Coaster,Fantasia Luna Park,Steel,Sit Down,Relocated,2003
Apple Coaster,Codona's Amusement Park,Steel,Sit Down,Relocated,1999
Apple Coaster,Southport Pleasureland,Steel,Sit Down,Operating,2016
Apple Coaster,Atallah Happy Land Park,Steel,Sit Down,Operating,2009
Apple Tree,Action Zone,Steel,Sit Down,Operating,2003
Apple Worm,Xixiakou China,Steel,Sit Down,,2006
Apple Worm,Hangzhou Paradise,Steel,Sit Down,Relocated,2011
Apple Worm,Hangzhou Paradise,Steel,Sit Down,Operating,2016
Apple Worm,Club Hotel Turan Prince World,Steel,Sit Down,Operating,2014
Apple Zapple,Kings Dominion,Steel,Sit Down,Operating,2002
Aqua Dive,EsselWorld,Steel,Sit Down,Operating,1995
Aqua Dive,Crystal World,Steel,Sit Down,Operating,2006
Aquaman: Power Wave,Six Flags Over Texas,Steel,Sit Down,Under Construction,2022
Aqua Shoot,Funcity,Steel,Sit Down,Operating,2003
Aqua Wind,Lagunasia,Steel,Sit Down,Operating,2004
Arashi,Nagashima Spa Land,Steel,Wing,Operating,2017
Arctic Blast,Ocean Park,Steel,Sit Down,Operating,2012
Arctic Cat,Crystal Beach,Steel,Sit Down,,1974
Arena Coaster,Zillertal Arena,Steel,Sit Down,Operating,2007
Ariel Railway,Sans Souci Park,Wood,Sit Down,,1905
Arkansas Twister,Magic Springs Theme and Water Park,Wood,Sit Down,Operating,1992
Arkham Asylum - Shock Therapy,Warner Bros. Movie World,Steel,Inverted,SBNO,1995
Armada Invencible,Formosan Aboriginal Culture Village,Steel,Sit Down,Operating,2008
Armored Train,Luna Park Carousel on Poklonnaya Hill,Steel,Sit Down,Operating,2013
Arthur,Europa Park,Steel,Inverted,Operating,2014
Aska,Nara Dreamland,Wood,Sit Down,,1998
Asteroid,City Park,Steel,Sit Down,,2002
Asteroid,Gorky Park,Steel,Sit Down,Operating,2018
Astro Boy Lunar Tour's,Seibuen Yuenchi,Steel,Sit Down,Operating,2004
Astro Comet,Maviland,Steel,Sit Down,,2002
Astro Express,Fun City,Steel,Sit Down,Operating,2011
Astropax 18,VVC Wheel Park,Steel,Sit Down,,1995
Astro-ride,Freedom Land U.S.A,Steel,Sit Down,,1962
Astro Storm,Brean Theme Park,Steel,Sit Down,Operating,2011
Astroworm,Starland Theme Park,Steel,Sit Down,,2012
Atlanta,Fun World,Steel,Sit Down,,2005
Atlantica SuperSplash,Europa Park,Steel,Sit Down,Operating,2005
Atlantis Adventure,Lotte World,Steel,Sit Down,Operating,2003
Atlantis Spin,Bali Safari,Steel,Sit Down,Operating,2009
Atomic,Greenland,Steel,Sit Down,,1980
Atomic Coaster,Japan Monkey Park,Steel,Sit Down,,1980
Atomic Coaster,Dreamland,Steel,Sit Down,,
Atomic Coaster,Beijing Shijingshan Amusement Park,Steel,Sit Down,,1986
Atomic Coaster,Xian North Children Park,Steel,Sit Down,,1997
Atomic Coaster,Sekitan No Rekishi Mura,Steel,Sit Down,,2005
Atomic Mouse,Gwangju Family Land,Steel,Sit Down,Operating,1981
Atom Smasher,Rockaways' Playland,Wood,Sit Down,,1938
Auto BergBahn,Wiener Prater,Wood,Sit Down,Operating,1948
Autosled,Galaxyland Amusement Park,Steel,Sit Down,Operating,1985
Avalancha,Xetulul,Steel,Sit Down,Operating,2002
Avalanche,Kings Dominion,Steel,Bobsled,Operating,1988
Avalanche,Blackpool Pleasure Beach,Steel,Bobsled,Operating,1988
Avalanche,Timber Falls Adventure Park,Wood,Sit Down,,2004
Avalanche,Jolly Roger Amusement Park,Steel,Sit Down,,2008
Avatar Airbender,Nickelodeon Universe,Steel,Sit Down,Operating,2008
Avengers Roller Coaster,L'Île aux Géants,Steel,Sit Down,Operating,2018
Aventura,Safari Park,Steel,Sit Down,Operating,2016
Avonturenslang,Avonturenpark Hellendoorn,Steel,Sit Down,Relocated,1978
Azteka,Le Pal,Steel,Sit Down,Operating,2003
Ba-a-a-Express,Europa Park,Steel,Sit Down,Operating,2016
Baby Airplane,O-World,Steel,Sit Down,Operating,2007
Baby Coaster,Happy Valley,Steel,Sit Down,Operating,2008
Baby Dipper,Happyland Park,Wood,Sit Down,,1928
Babylon,Happylon,Steel,Sit Down,,2010
Babylon Spinning Coaster,Babylon Park,Steel,Sit Down,Operating,2014
Baby Pomme,Parc Babyland,Steel,Sit Down,Operating,2006
Baby Roller Coaster,Floraland Continent Park,Steel,Sit Down,,2013
Baby Wildcat,Idora Park,Wood,Sit Down,,
Baby Wild Cat,Woodside Park,Steel,Sit Down,Relocated,1950
Back at the Barnyard Hayride,Nickelodeon Universe,Steel,Sit Down,Operating,1995
Backety-Back Scenic Railway,Crystal Beach,Wood,Sit Down,,1909
Backlot Stunt Coaster,Kings Island,Steel,Sit Down,Operating,2005
Back Lot Stunt Coaster,Canada's Wonderland,Steel,Sit Down,Operating,2005
Back Lot Stunt Coaster,Kings Dominion,Steel,Sit Down,Operating,2006
Backyardigans: Mission to Mars,Movie Park Germany,Steel,Sit Down,Operating,1996
Bärenbob,Sommerrodelbahn Grafenau,Steel,Sit Down,Operating,1998
Balagos - Flying Flame,Avonturenpark Hellendoorn,Steel,Sit Down,Operating,1990
Balancier,Futuroscope,Steel,Sit Down,Operating,2006
Balatoni Hullámvasút,Zobori Élmény Park,Steel,Sit Down,Operating,2019
Balaurul 7 Capete,Parcul Lacul Tei,Steel,Sit Down,Operating,2017
Balder,Liseberg,Wood,Sit Down,Operating,2003
Banana Coaster,Pleasure Garden,Steel,Sit Down,Operating,2009
Banane,Freizeitpark Stubenberg See,Steel,Sit Down,Operating,1990
Bandidos,Mer de Sable,Steel,Sit Down,Operating,2016
Bandit,Movie Park Germany,Wood,Sit Down,Operating,1999
Bandit,Yomiuriland,Steel,Sit Down,Operating,1988
Bandit Bomber,Yas Waterworld,Steel,Inverted,Operating,2013
Banshee,Kings Island,Steel,Inverted,Operating,2014
Barnstormer,Walt Disney World - Magic Kingdom,Steel,Sit Down,Operating,1996
Barnstormer,Adventure Island,Steel,Sit Down,Operating,2000
